age,gender,Eastern,Japan,Samurai,Funky,Nature,Western,Space,Mystery,Puzzle,Art
26,Male,32,13,72,87,75,7,92,4,57,27
39,Female,22,45,37,65,86,75,54,98,89,94
21,Female,78,19,52,6,75,62,45,5,71,78
16,Male,33,94,22,94,33,65,14,18,90,4
18,Female,95,60,92,88,74,29,14,92,43,70
40,Male,67,23,75,26,13,42,71,64,96,14
33,Female,73,99,38,15,76,45,25,95,86,25
31,Male,97,85,93,31,96,86,80,94,92,25
22,Female,96,11,11,82,99,71,66,29,7,78
15,Male,49,57,36,97,57,14,25,89,9,26
16,Female,98,84,5,28,98,49,88,63,61,78
29,Male,77,48,77,57,90,23,75,62,1,24
24,Female,98,60,33,90,75,9,85,86,25,94
32,Female,30,28,78,80,90,37,64,70,92,18
36,Male,11,95,33,91,95,24,95,30,27,71
31,Male,35,70,78,88,93,9,100,58,27,65
33,Female,39,81,2,55,100,86,90,94,93,67
28,Male,98,98,76,43,99,20,73,68,71,69
37,Female,55,29,43,59,92,40,78,96,71,95
32,Male,23,48,84,98,88,75,77,57,54,94
32,Female,88,59,53,20,80,74,58,87,91,54
34,Female,11,10,71,92,89,94,27,76,92,13
18,Male,77,31,36,43,11,38,14,77,64,18
30,Male,5,66,86,43,85,7,89,79,92,3
19,Male,63,67,50,22,60,21,84,44,51,84
40,Male,58,87,99,44,34,55,97,63,89,25
35,Male,5,14,70,83,92,85,80,67,32,34
24,Female,99,52,44,27,84,76,90,61,64,92
21,Female,80,41,97,91,96,30,54,57,53,87
29,Male,61,35,84,46,79,94,76,54,14,80
37,Female,32,34,19,36,84,45,51,94,90,41
39,Female,65,20,95,97,74,42,7,88,71,63
39,Female,13,75,86,74,78,37,88,78,90,38
38,Male,36,23,14,32,18,14,27,28,97,54
21,Female,87,7,57,46,81,64,36,82,61,78
25,Female,96,10,44,65,96,55,68,65,96,87
32,Male,72,60,98,11,80,74,83,59,93,97
23,Male,87,33,47,57,98,61,87,54,50,78
38,Female,50,35,79,11,73,51,70,80,95,76
19,Female,80,18,26,1,90,73,48,29,90,74
35,Female,10,36,96,1,77,94,75,98,83,35
33,Female,86,80,9,100,76,100,17,85,76,2
32,Female,10,61,52,49,87,87,93,86,87,21
18,Female,86,88,99,53,89,86,24,79,15,75
34,Female,46,41,26,90,85,32,28,94,76,85
34,Male,61,60,92,77,94,42,91,1,87,51
32,Female,92,32,8,37,77,38,37,79,80,35
38,Male,48,13,31,72,71,79,70,14,7,94
36,Female,29,68,30,58,70,86,13,78,91,11
31,Female,88,95,96,20,84,61,20,78,92,72
28,Female,88,79,68,69,84,36,80,69,80,73
17,Male,4,18,30,69,33,66,46,55,87,52
29,Male,94,92,73,84,73,10,83,52,94,27
36,Male,92,7,44,72,100,64,49,97,36,16
27,Female,44,75,24,45,99,71,56,25,78,71
19,Female,70,4,15,93,91,76,98,96,98,91
21,Female,100,6,18,80,78,30,77,76,52,79
35,Female,13,57,54,60,85,35,65,81,87,53
26,Male,79,4,91,59,95,12,94,37,44,70
37,Female,23,53,83,9,73,75,93,91,80,83
25,Female,82,46,31,67,77,17,57,57,78,87
26,Male,75,99,94,11,72,87,91,75,52,46
29,Female,44,64,92,49,83,98,56,44,80,95
26,Male,42,80,81,100,97,58,91,42,15,84
35,Male,39,69,75,93,95,18,90,93,55,81
23,Female,97,31,26,51,97,94,46,89,27,87
21,Female,84,49,43,9,72,59,88,36,26,96
22,Male,70,56,14,72,95,73,71,64,63,91
17,Male,81,27,30,78,98,3,32,86,84,52
18,Male,2,28,32,93,30,27,35,41,58,43
25,Female,71,99,15,39,71,55,52,54,93,71
23,Male,7,14,73,6,78,56,80,83,62,70
28,Female,5,91,17,33,96,15,40,15,79,85
22,Male,92,69,98,6,96,13,82,5,41,38
39,Male,74,8,34,23,58,29,41,29,51,9
36,Male,45,88,46,27,46,2,5,88,60,61
18,Male,10,2,32,28,13,37,10,55,40,76
34,Female,92,28,23,11,74,71,31,90,82,35
20,Female,91,53,91,53,78,17,70,90,4,100
18,Female,97,40,32,18,93,53,21,54,59,85
16,Female,51,83,56,48,80,82,91,27,85,90
25,Female,98,12,40,55,73,4,46,4,96,100
27,Male,54,50,72,18,80,80,85,19,5,91
31,Female,17,48,60,25,78,54,39,99,78,12
20,Female,79,74,75,28,88,29,21,24,21,76
24,Male,47,70,6,59,75,80,97,34,69,78
38,Male,5,59,14,31,66,29,67,28,25,93
29,Male,39,91,95,4,71,36,87,65,71,24
24,Male,78,19,22,76,95,37,95,74,66,7
21,Male,19,29,8,96,97,2,94,41,51,84
37,Female,56,80,35,37,86,99,53,84,91,84
37,Male,45,69,31,62,37,51,17,15,3,43
31,Male,61,87,78,65,100,72,70,69,35,51
16,Male,100,92,88,86,19,54,37,86,99,52
24,Male,93,1,100,19,71,59,70,9,73,83
22,Male,60,56,78,77,73,92,80,27,48,43
35,Female,86,82,47,49,80,47,59,97,82,30
35,Male,70,1,92,87,73,3,70,66,5,44
40,Female,7,89,6,44,80,30,90,97,99,91
37,Female,53,11,79,93,79,66,47,74,78,82
15,Female,36,70,93,70,88,31,69,58,96,89
18,Male,32,47,29,76,64,63,9,93,26,55
17,Female,42,45,54,90,100,62,83,77,21,91
22,Female,98,75,68,54,79,51,38,38,51,71
37,Male,82,83,39,54,24,67,21,68,83,25
24,Male,87,91,7,18,81,71,94,65,31,66
31,Male,46,73,89,13,76,98,98,36,26,11
28,Male,26,66,89,14,89,35,96,49,86,97
40,Female,56,63,8,43,84,39,13,83,99,9
35,Male,40,78,76,3,76,82,77,31,42,52
25,Male,68,55,78,83,81,96,82,47,30,94
33,Female,6,13,54,31,73,59,32,98,83,35
28,Female,38,79,8,54,89,31,57,7,99,86
26,Male,94,28,100,64,80,78,86,89,87,37
30,Male,8,46,78,27,98,99,80,59,45,30
26,Male,12,82,80,44,89,34,89,42,84,52
39,Male,80,19,61,67,96,31,93,36,8,12
15,Male,29,92,81,78,20,6,90,74,52,5
22,Male,76,5,44,68,71,35,100,48,20,37
20,Male,62,56,91,53,99,49,72,76,62,73
20,Male,45,62,76,22,87,69,72,62,36,21
39,Male,9,69,71,24,8,71,65,13,85,20
23,Female,92,55,27,80,89,97,37,77,51,84
29,Female,71,38,53,23,79,95,82,15,75,71
19,Male,81,70,34,44,19,87,43,85,80,16
24,Female,87,73,53,76,82,63,18,41,55,74
21,Female,72,18,47,87,86,99,40,74,17,89
28,Male,22,58,97,23,100,43,70,76,67,61
18,Male,52,24,73,38,3,33,70,11,44,99
20,Male,42,68,99,60,91,92,88,82,88,10
39,Male,19,38,6,92,31,28,4,56,12,82
32,Female,93,60,89,58,80,69,42,90,90,7
23,Female,78,52,13,4,81,88,72,80,53,75
34,Male,83,50,85,42,90,52,70,91,9,64
16,Male,61,37,55,34,14,60,4,60,20,87
17,Female,72,77,93,42,85,80,80,40,17,93
22,Female,78,31,100,8,86,57,60,73,93,75
39,Female,76,8,13,39,99,48,86,71,94,11
39,Female,14,28,10,2,84,77,1,72,88,11
31,Female,57,71,4,66,80,84,47,86,77,46
39,Male,80,10,62,84,44,47,43,80,100,63
17,Female,73,20,93,85,96,31,56,90,52,83
24,Female,81,8,51,30,74,81,10,31,89,79
35,Male,77,25,84,9,77,100,90,89,34,47
21,Female,98,87,17,22,79,99,7,23,10,70
28,Male,35,64,93,64,72,56,75,86,45,24
28,Male,69,96,88,26,93,82,100,85,24,67
38,Male,44,84,3,55,70,81,37,82,44,82
22,Female,85,92,96,51,96,18,49,53,47,73
32,Female,62,92,6,96,100,51,41,91,72,14
40,Female,5,23,12,24,74,13,62,91,77,15
18,Female,100,61,66,4,90,91,5,97,49,85
35,Female,54,25,27,31,73,35,36,77,86,97
29,Female,95,61,49,49,100,99,99,70,77,81
33,Female,56,92,99,21,84,4,60,81,84,29
29,Female,71,23,33,85,98,78,12,34,80,94
17,Male,40,35,86,89,79,17,54,22,27,37
36,Male,15,8,22,40,23,70,91,3,86,13
19,Female,70,36,75,30,82,83,96,20,99,72
16,Male,80,8,73,50,71,17,65,45,21,92
19,Female,84,76,19,76,74,25,87,18,58,88
34,Female,29,73,84,72,74,53,85,80,84,3
37,Male,85,87,56,7,66,53,26,24,68,7
23,Male,6,14,68,85,85,98,70,22,21,22
36,Male,8,100,95,65,26,75,34,79,60,18
30,Female,45,56,13,18,93,31,90,94,88,94
22,Male,77,68,24,16,77,54,84,74,90,18
28,Male,44,68,100,21,75,16,96,15,68,12
33,Female,12,41,75,5,84,40,45,78,88,11
18,Male,82,56,61,93,15,45,96,56,36,13
40,Male,19,23,43,56,93,76,46,41,61,76
40,Male,55,96,96,56,62,21,3,95,19,91
35,Female,34,63,88,21,84,54,84,80,71,87
29,Female,13,23,30,27,81,61,9,99,81,92
28,Male,36,19,77,61,85,1,93,98,45,24
25,Male,33,95,66,68,86,56,81,14,31,92
39,Female,30,47,59,97,91,28,90,97,88,11
19,Male,84,32,99,3,26,67,2,100,17,70
19,Male,14,62,97,78,43,75,1,97,99,55
39,Male,14,34,66,82,97,24,66,95,48,36
37,Female,97,18,35,74,85,10,87,75,100,36
32,Male,55,30,72,67,75,41,93,64,58,88
23,Female,84,2,33,85,74,44,95,87,44,79
40,Female,67,52,72,91,95,19,92,70,93,6
35,Male,97,85,79,80,80,60,81,95,80,20
39,Male,5,93,88,16,14,41,86,48,12,27
39,Male,20,97,41,75,66,41,1,96,58,90
22,Male,17,31,74,34,100,60,89,60,47,53
36,Female,53,94,56,96,79,12,59,81,89,72
27,Male,6,4,83,16,82,47,78,96,85,17
36,Female,50,38,15,90,70,9,52,73,75,61
29,Female,34,76,44,67,98,50,9,36,75,89
17,Male,60,49,54,98,63,37,47,96,28,59
33,Female,2,60,53,82,94,75,54,88,97,96
25,Male,73,93,38,57,90,26,70,5,43,91
30,Female,88,9,56,15,77,64,36,77,93,74
24,Male,92,53,45,91,90,24,86,24,83,51
15,Male,100,70,82,59,80,29,82,86,48,29
36,Female,72,1,1,11,96,23,52,82,88,7
40,Male,94,85,86,99,46,13,30,58,61,82
24,Male,98,37,51,49,75,94,80,64,45,81
34,Male,4,30,96,91,72,34,94,9,22,72
33,Male,51,93,87,7,84,60,91,66,94,9
23,Male,81,96,83,60,99,3,71,18,97,80
28,Female,51,10,80,4,82,97,43,68,98,94
32,Male,32,99,90,8,84,35,78,45,84,65
21,Male,30,95,26,98,71,1,92,47,64,100
35,Female,100,41,89,51,91,3,84,74,80,60
23,Female,77,81,2,96,78,61,34,29,7,75
20,Male,37,21,86,48,73,93,86,68,48,45
30,Female,6,34,80,70,74,9,77,82,92,80
19,Male,98,48,21,82,99,61,25,5,3,99
40,Female,27,92,4,16,79,34,82,90,87,18
16,Female,50,81,98,2,74,36,93,26,98,98
33,Female,39,67,61,31,77,34,99,92,70,41
26,Female,18,44,90,23,87,98,81,88,79,70
16,Male,4,36,58,42,74,100,14,32,55,77
33,Female,11,56,69,24,100,2,17,78,99,81
31,Male,74,61,86,88,91,16,100,57,62,50
23,Male,41,95,50,53,77,77,71,30,68,86
30,Male,57,30,75,79,93,33,95,3,78,4
28,Female,27,12,95,49,99,55,69,4,98,89
27,Male,69,82,94,10,99,82,81,48,61,36
15,Female,5,21,13,18,78,93,63,1,22,71
38,Female,23,28,58,14,89,17,59,71,73,72
36,Female,49,78,100,63,71,56,43,95,72,68
34,Male,58,85,93,56,81,97,72,63,47,93
34,Female,89,88,89,66,95,58,64,81,72,12
35,Male,50,94,98,38,83,79,92,100,76,80
20,Male,85,68,15,48,96,76,82,94,95,31
18,Female,74,98,27,52,92,56,88,77,62,97
26,Female,63,78,78,51,95,56,46,36,71,89
33,Male,10,48,79,55,75,39,78,12,23,49
33,Female,27,81,40,96,89,13,1,72,100,69
40,Female,23,5,17,7,83,69,36,78,95,36
26,Female,23,79,71,45,89,42,72,15,91,94
31,Female,65,5,20,1,74,90,78,95,83,25
24,Female,99,43,59,86,86,81,38,94,5,71
21,Female,87,6,13,36,94,64,51,80,25,94
29,Male,40,38,80,42,76,27,74,63,33,89
23,Male,25,72,23,80,71,99,76,91,62,45
40,Male,36,49,65,99,15,51,46,22,34,50
29,Female,93,79,69,71,78,96,88,46,86,83
15,Male,92,54,40,40,63,17,7,13,58,3
29,Female,28,70,41,43,90,78,42,35,94,90
28,Male,15,54,97,69,76,2,91,56,21,2
23,Female,86,8,63,74,87,74,93,33,20,77
31,Female,100,75,22,83,78,77,88,88,74,63
19,Male,20,60,78,73,56,98,59,41,98,91
26,Female,73,17,60,71,87,37,81,75,93,85
16,Male,3,44,90,21,26,90,87,50,71,34
36,Male,85,62,56,5,36,75,5,77,45,31
18,Female,98,59,96,78,88,50,18,90,63,91
33,Male,16,16,96,60,73,55,82,99,57,52
39,Male,44,38,73,62,86,89,94,78,55,28
25,Male,15,18,16,36,95,54,74,72,66,20
28,Female,17,5,69,49,89,34,33,37,82,91
40,Female,39,7,89,27,100,9,67,70,81,35
25,Male,72,34,2,26,80,64,77,12,38,14
17,Female,50,76,77,52,100,74,72,76,21,92
16,Female,74,98,97,43,91,93,22,27,39,93
38,Male,71,32,98,93,60,96,38,77,52,81
23,Female,99,99,66,95,76,60,47,44,6,96
40,Male,33,77,61,39,51,71,13,96,90,55
28,Female,8,68,65,86,94,37,95,7,79,87
24,Male,100,57,52,3,70,19,83,39,99,55
39,Male,66,73,66,39,21,39,72,13,27,47
33,Male,63,81,92,71,99,17,84,9,47,23
20,Male,89,100,12,83,72,40,90,23,71,63
31,Female,92,11,46,4,73,64,15,73,97,20
18,Male,64,8,31,16,68,92,71,51,10,56
16,Female,15,20,23,75,76,63,59,85,42,97
27,Female,46,11,9,52,81,70,31,88,87,74
34,Male,91,69,87,88,96,69,98,5,32,38
28,Male,47,22,76,13,85,100,84,11,46,56
34,Female,76,90,41,11,89,89,37,78,79,39
40,Male,70,45,79,60,97,86,80,15,23,78
38,Female,68,33,85,53,77,16,93,71,98,18
19,Female,73,71,57,97,82,98,54,31,66,92
17,Female,63,98,89,77,76,47,99,62,23,90
37,Male,2,79,48,100,12,55,12,13,1,42
16,Male,20,70,3,61,39,61,96,30,29,6
40,Male,91,2,47,86,12,91,15,57,94,21
40,Female,12,18,87,2,80,7,100,71,73,8
17,Male,92,30,54,48,53,95,91,69,71,17
24,Female,88,80,40,91,81,74,78,86,44,92
17,Male,84,60,12,85,46,4,29,8,51,89
18,Male,68,74,99,78,14,100,43,91,53,99
32,Female,93,82,21,64,84,75,82,95,71,46
38,Male,76,99,62,37,9,52,15,58,61,23
36,Female,61,79,72,14,78,40,71,92,81,93
39,Male,88,82,51,15,44,25,28,79,57,34
17,Male,31,58,47,58,15,77,85,36,39,90
19,Male,26,15,37,25,16,40,39,42,86,84
23,Male,36,93,49,12,77,21,88,32,95,55
35,Female,88,76,12,70,90,92,16,76,87,82
35,Female,41,8,43,57,99,92,30,75,87,60
22,Male,97,73,73,6,78,100,77,18,91,80
40,Female,22,57,41,94,89,54,99,80,97,75
38,Male,96,47,51,36,82,72,77,42,31,15
31,Male,57,63,100,99,89,86,88,33,16,97
33,Male,99,67,89,59,94,41,90,90,26,48
34,Male,69,82,91,2,93,68,99,65,84,77
19,Male,97,65,27,28,91,73,21,88,67,36
17,Male,6,40,26,4,67,19,49,34,76,90
28,Female,69,19,72,97,86,59,78,54,83,83
16,Male,44,59,39,89,37,59,64,65,28,77
18,Male,57,21,16,51,5,3,64,20,29,9
40,Female,82,45,34,36,92,82,41,99,100,50
39,Male,42,64,96,28,17,31,53,62,88,4
36,Male,69,55,14,25,21,82,61,67,40,27
39,Female,72,36,41,67,98,62,67,77,95,68
32,Male,76,36,90,23,95,70,84,21,92,58
28,Female,88,19,41,30,90,37,75,94,75,90
23,Male,88,82,48,34,75,50,89,45,16,9
21,Male,39,43,40,22,79,10,98,56,27,21
19,Male,35,1,19,30,94,97,93,27,36,17
18,Female,87,46,68,35,87,33,1,22,34,95
29,Female,69,72,74,47,100,58,63,15,71,78
26,Female,59,60,79,62,87,46,53,55,84,76
25,Female,80,10,20,3,81,21,63,49,73,94
31,Female,49,33,30,89,74,55,71,72,72,59
21,Male,53,86,11,71,70,48,72,90,80,37
21,Female,94,51,60,72,100,40,28,78,46,96
39,Female,8,97,5,28,75,77,46,98,94,47
34,Female,2,59,22,22,71,85,63,100,70,52
36,Female,63,30,82,83,100,88,34,71,75,39
34,Female,13,36,20,73,75,10,10,93,90,3
20,Male,36,58,94,9,86,50,80,33,61,36
34,Female,20,43,43,95,74,69,30,82,89,34
31,Male,14,77,94,78,88,33,85,83,16,67
38,Male,58,42,2,14,12,56,78,73,59,63
29,Female,41,14,51,59,80,33,33,64,98,86
37,Male,2,19,97,83,2,49,41,28,40,12
28,Male,53,23,89,44,75,59,72,58,88,66
31,Female,36,79,73,6,80,95,67,78,86,98
37,Male,82,96,73,67,80,49,27,44,36,75
31,Male,6,79,93,89,85,78,84,16,31,83
32,Male,82,70,99,59,77,36,76,33,67,92
26,Male,93,98,89,49,90,75,70,63,85,43
23,Female,91,4,84,38,95,29,98,36,20,71
37,Female,16,77,34,52,70,39,21,79,75,88
22,Female,84,48,17,90,70,45,47,75,5,81
37,Female,27,65,47,18,76,18,100,96,76,33
36,Male,42,32,86,92,4,42,41,78,56,19
35,Female,77,65,32,45,89,64,60,97,100,9
18,Female,89,93,29,76,99,57,11,70,22,97
31,Female,90,6,37,32,91,25,38,96,79,71
31,Female,93,2,91,17,97,22,91,97,89,47
17,Female,12,56,37,58,83,50,62,48,4,100
36,Female,3,47,51,83,86,82,100,84,73,81
38,Female,99,96,65,73,93,61,72,100,84,14
33,Male,75,9,88,20,87,65,82,18,67,20
30,Female,79,8,3,7,93,76,19,76,78,91
26,Male,96,39,97,51,85,83,98,92,12,54
22,Female,79,49,19,25,83,16,41,35,62,89
27,Female,32,22,97,76,93,75,22,59,98,86
26,Female,11,18,84,50,87,99,43,19,70,77
35,Female,45,21,48,95,71,37,52,70,85,26
36,Male,62,97,58,19,89,54,93,28,76,44
26,Male,97,15,90,59,88,9,92,69,97,79
39,Female,37,16,53,44,82,35,94,80,93,51
17,Male,41,49,96,58,61,92,76,11,96,67
15,Male,62,99,44,100,74,95,45,17,74,39
25,Female,99,63,23,15,96,94,83,96,94,87
39,Female,52,60,59,73,85,45,87,100,79,26
20,Female,84,100,33,56,86,98,81,30,95,89
33,Male,65,21,75,91,78,39,91,26,34,47
18,Female,84,79,8,55,95,34,31,86,7,73
18,Male,93,80,70,2,10,38,15,51,67,24
36,Female,17,14,42,58,78,53,93,96,89,65
16,Female,48,93,77,22,80,64,18,63,48,71
40,Male,95,38,81,36,33,64,34,55,64,31
36,Female,11,99,56,99,90,42,18,77,92,73
32,Female,16,86,76,98,87,1,97,92,83,60
17,Male,50,46,74,2,46,9,80,1,24,61
16,Male,85,53,28,34,22,97,99,94,7,79
20,Male,55,74,28,61,87,72,88,35,11,67
38,Female,80,16,52,51,87,67,82,88,90,73
32,Female,46,36,42,20,75,12,43,90,82,65
29,Female,31,40,17,55,90,24,5,11,97,79
23,Female,81,66,83,64,96,51,96,91,20,93
40,Female,87,98,53,48,75,66,7,89,71,86
27,Male,71,57,97,24,75,63,98,56,100,7
40,Male,38,14,77,57,38,16,90,97,82,93
25,Male,24,31,16,44,80,87,98,100,18,54
33,Female,16,4,90,51,100,27,60,84,79,11
16,Female,28,19,9,24,92,68,50,100,1,96
22,Male,58,50,87,82,85,87,73,90,1,22
34,Female,17,77,71,42,99,93,58,95,97,39
33,Male,67,87,73,15,72,82,92,51,75,95
27,Female,71,66,52,38,80,30,71,23,87,70
20,Female,80,88,70,83,88,28,58,29,89,77
19,Male,54,11,8,29,60,62,43,49,37,22
38,Male,60,26,57,56,87,83,54,57,2,63
28,Male,78,92,97,54,83,66,80,43,41,27
22,Male,67,64,11,98,82,78,87,93,87,8
25,Male,80,51,34,45,87,95,77,32,57,38
27,Female,8,78,42,37,71,8,95,4,73,72
16,Female,93,21,11,7,99,9,38,38,73,88
20,Female,77,95,9,75,94,48,14,28,31,96
37,Female,79,96,28,33,70,27,72,74,86,21
20,Male,16,79,7,25,74,48,79,21,32,3
34,Female,24,80,78,25,90,12,32,91,74,21
26,Female,34,11,67,51,85,98,75,30,83,97
37,Female,48,70,62,30,84,89,57,89,100,82
22,Female,78,60,87,96,91,45,52,50,17,100
19,Male,82,55,44,82,63,57,22,83,24,9
22,Male,64,100,26,47,77,24,87,15,37,3
40,Male,33,24,1,13,35,55,78,62,94,9
25,Female,96,37,99,55,75,4,93,45,70,99
39,Female,53,83,47,12,79,56,10,94,87,87
23,Male,51,79,11,47,84,64,87,19,74,72
36,Female,52,7,29,52,88,77,25,76,85,99
15,Female,92,95,31,100,92,80,7,60,23,73
32,Female,72,39,17,12,78,4,24,78,77,61
31,Female,36,34,53,27,87,69,6,96,78,14
22,Male,43,65,53,52,71,95,76,23,86,80
20,Male,10,94,12,22,100,13,77,21,18,34
15,Male,99,90,64,67,15,77,6,4,64,29
31,Female,34,6,39,99,75,61,61,99,97,12
27,Female,35,18,15,4,82,50,66,37,83,96
34,Female,14,98,15,22,95,1,73,87,100,24
29,Male,16,100,82,76,80,28,83,4,71,8
17,Female,7,15,38,9,90,96,46,5,19,74
31,Female,2,35,46,32,77,33,6,90,73,46
28,Female,34,80,71,9,99,92,21,38,90,76
37,Male,78,14,22,44,72,32,90,97,55,69
23,Male,65,2,36,99,81,80,81,81,53,42
15,Male,40,3,55,69,68,37,27,23,10,74
30,Male,81,35,75,61,94,90,72,69,99,97
39,Female,23,13,78,13,99,49,11,85,79,40
22,Male,4,38,14,98,88,27,71,78,54,83
23,Male,5,17,19,25,91,53,81,82,91,56
24,Female,76,91,61,96,82,97,15,8,18,82
37,Female,80,47,52,10,76,31,49,100,77,71
24,Male,21,100,84,42,75,66,72,56,2,4
30,Male,88,64,91,84,87,56,75,7,5,49
21,Male,41,62,75,23,84,17,72,69,19,55
24,Female,82,18,68,71,80,34,82,5,9,84
31,Female,47,50,68,10,94,12,67,89,84,77
38,Male,54,64,85,21,11,55,25,8,40,93
16,Male,99,18,65,82,21,31,82,49,1,69
25,Male,55,85,11,47,87,93,83,62,97,35
36,Male,10,13,13,61,57,47,86,82,67,17
33,Male,19,16,89,35,97,64,87,96,81,4
39,Female,91,31,50,38,85,39,45,80,85,100
23,Male,24,81,28,36,81,10,99,81,96,72
20,Female,99,58,37,78,73,67,51,97,62,85
27,Male,85,66,76,88,100,76,90,41,41,79
36,Female,29,53,86,41,80,68,77,76,87,30
25,Male,98,89,40,79,83,10,96,53,17,67
15,Male,48,37,86,87,88,39,27,21,47,7
28,Male,75,15,82,48,79,27,73,92,66,55
40,Male,37,15,13,8,12,44,53,9,25,1
40,Female,86,37,35,7,97,24,27,85,77,55
33,Female,52,67,53,22,96,86,57,71,74,56
33,Female,62,33,66,23,78,13,13,91,79,21
35,Female,18,43,63,89,76,5,74,99,90,18
33,Male,8,76,77,35,97,2,75,94,85,16
38,Female,43,43,48,79,88,52,91,91,81,7
30,Female,53,100,20,56,73,75,29,83,85,73
20,Female,77,49,59,72,88,69,30,10,3,87
31,Female,8,10,21,28,85,25,19,89,74,25
24,Male,69,30,44,100,96,76,95,44,73,93
23,Female,94,36,58,81,77,92,9,75,48,72
27,Female,90,3,80,45,70,4,3,89,88,84
29,Female,44,26,80,51,76,88,60,91,82,73
28,Male,96,70,86,46,71,18,81,61,53,61
33,Female,84,20,32,98,83,34,55,77,86,81
19,Male,26,94,11,75,55,78,42,93,75,70
38,Male,25,48,100,49,49,88,41,38,77,12
36,Male,72,43,70,27,44,74,17,14,32,19
36,Male,64,59,6,53,98,50,85,21,19,56
33,Male,92,1,94,64,84,61,70,76,39,23
17,Female,67,71,38,62,85,1,25,6,81,88
21,Male,84,80,62,29,90,74,99,88,2,78
22,Male,70,35,62,83,78,37,82,39,72,89
32,Female,82,78,45,64,94,18,11,72,83,69
36,Male,42,69,99,80,68,6,72,17,87,84
38,Female,32,2,63,78,93,9,9,83,88,35
40,Female,73,59,19,87,84,74,74,72,76,43
24,Female,76,48,65,86,96,26,63,88,26,93
27,Male,69,89,99,41,79,47,71,40,90,18
20,Female,74,30,21,80,86,61,70,5,61,86
31,Male,43,61,94,78,74,55,74,23,35,1
19,Male,50,65,99,61,27,4,13,46,68,37
21,Female,85,50,100,31,97,73,24,73,47,95
34,Female,50,62,50,98,89,100,18,71,86,89
38,Female,23,42,75,10,93,51,74,95,79,45
34,Female,100,27,67,32,93,13,8,78,94,88
19,Female,73,22,68,57,94,91,24,83,13,76
15,Male,54,68,27,61,52,59,41,10,96,18
20,Male,79,36,57,97,72,78,77,36,42,7
19,Male,58,96,52,94,3,22,57,48,49,4
21,Female,80,56,8,39,88,41,62,35,8,90
19,Female,95,48,5,72,76,35,13,12,80,81
15,Female,33,12,23,2,78,49,91,9,62,94
36,Female,9,23,75,31,95,46,5,94,100,14
19,Female,71,42,18,83,70,81,56,69,61,100
29,Female,80,15,59,22,97,42,75,97,75,82
40,Male,35,93,100,32,43,75,19,42,69,60
21,Female,80,66,91,2,88,2,13,43,35,79
37,Female,65,87,76,27,95,22,86,100,99,29
27,Male,50,26,97,90,76,78,84,65,6,9
27,Female,34,84,56,25,71,26,27,39,90,100
20,Female,76,88,92,86,92,52,94,4,19,70
31,Female,54,30,78,44,74,64,5,98,84,80
34,Male,84,21,78,58,95,99,81,33,65,57
22,Male,88,81,37,53,95,28,72,28,10,25
29,Female,59,89,56,44,72,74,20,86,77,76
28,Female,93,20,22,85,85,73,53,20,96,85
20,Female,100,29,25,75,88,9,49,87,91,95
29,Male,60,49,70,61,87,4,76,26,74,68
37,Female,9,99,1,90,91,9,12,98,86,77
